Match,Date,Innings,Over,Runs,Total.Runs,Innings.Total.Runs,Runs.Remaining,Total.Out,Innings.Total.Out,Outs.Remaining,Wickets.in.Hand,Run.Rate,Innings.Run.Rate,Run.Rate.Required,Initial.Run.Rate.Required,Target.Score,Day-night,At.Bat,Fielding,Home.Team,Away.Team,Stadium,Country,Total.Overs,Winning.Team,Toss.Winner,at.bat.wins,at.bat.won.toss,at.bat.at.home,at.bat.bat.first,chose_bat_1st,chose_bat_2nd,forced_bat_1st,forced_bat_2nd,new.game,Error.In.Data,common.support
65193,14/05/1999,1,43,6,190,204,14,8,10,2,2,4.418604651,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,44,3,193,204,11,9,10,1,1,4.386363636,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,45,11,204,204,0,10,10,0,0,4.533333333,4.08,NA,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,2,1,1,1,207,206,0,2,2,10,1,4.14,4.163265306,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,2,7,8,207,199,0,2,2,10,4,4.14,4.104166667,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,3,0,8,207,199,0,2,2,10,2.666666667,4.14,4.191489362,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,4,1,9,207,198,0,2,2,10,2.25,4.14,4.260869565,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,5,1,10,207,197,0,2,2,10,2,4.14,4.333333333,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,6,5,15,207,192,0,2,2,10,2.5,4.14,4.318181818,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,7,0,15,207,192,0,2,2,10,2.142857143,4.14,4.418604651,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,8,7,22,207,185,0,2,2,10,2.75,4.14,4.357142857,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,9,4,26,207,181,0,2,2,10,2.888888889,4.14,4.365853659,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,10,4,30,207,177,0,2,2,10,3,4.14,4.375,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,11,3,33,207,174,0,2,2,10,3,4.14,4.41025641,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
65193,14/05/1999,2,12,9,42,207,165,0,2,2,10,3.5,4.14,4.289473684,4.1,205,0,England,Sri Lanka,England,Sri Lanka,Lord's,England,50,England,England,1,1,1,0,0,1,0,0,0,0,1
